task,category,priority,due_date
Complete email,Work,Low,2025-06-06
Review report,Home,High,2025-06-06
Write budget,Finance,High,2025-07-16
Update presentation,Shopping,High,2025-07-06
Submit doctor appointment,Shopping,High,2025-06-29
Review email,Study,Low,2025-05-20
Plan exercise,Personal,Medium,2025-05-28
Pay email,Fitness,High,2025-06-15
Read invoice,Shopping,Low,2025-06-29
Prepare meeting,Work,Low,2025-06-16
Pay exam,Work,Low,2025-08-01
Fix lecture notes,Home,High,2025-06-14
Organize budget,Finance,Medium,2025-08-17
Prepare car service,Health,High,2025-06-03
Read resume,Finance,Medium,2025-08-08
Submit proposal,Fitness,Low,2025-06-23
Attend doctor appointment,Health,Medium,2025-06-05
Write exercise,Personal,Medium,2025-07-21
Organize doctor appointment,Work,Medium,2025-07-02
Write budget,Shopping,High,2025-06-18
Clean invoice,Fitness,Medium,2025-07-24
Submit proposal,Health,High,2025-07-24
Call doctor appointment,Home,High,2025-06-30
Review doctor appointment,Shopping,Low,2025-08-05
Review presentation,Shopping,High,2025-07-20
Review resume,Study,High,2025-06-02
Schedule lecture notes,Work,Low,2025-07-18
Attend resume,Finance,Medium,2025-07-14
Call budget,Work,Low,2025-06-21
Attend exercise,Personal,High,2025-06-15
Review resume,Personal,Low,2025-07-12
Call presentation,Health,Medium,2025-06-22
Schedule resume,Shopping,Medium,2025-08-13
Send email,Study,Low,2025-07-18
Send proposal,Home,Medium,2025-06-05
Plan assignment,Health,Medium,2025-07-08
Pay presentation,Health,Low,2025-07-17
Schedule resume,Personal,High,2025-08-04
Write exercise,Work,Low,2025-05-31
Research report,Health,High,2025-06-17
Read exam,Study,Medium,2025-06-07
Write assignment,Health,Medium,2025-08-17
Schedule invoice,Health,High,2025-07-27
Clean invoice,Personal,Low,2025-08-09
Research exercise,Fitness,Medium,2025-07-10
Attend resume,Study,Low,2025-05-30
Clean car service,Study,Low,2025-07-16
Send doctor appointment,Health,Low,2025-07-03
Submit lecture notes,Finance,Medium,2025-07-18
Read budget,Work,Medium,2025-07-08
Plan meeting,Finance,Medium,2025-07-26
Schedule exam,Personal,Low,2025-06-26
Attend exam,Work,Medium,2025-08-10
Send meeting,Work,Medium,2025-06-03
Prepare budget,Work,Low,2025-08-17
Organize meeting,Work,Medium,2025-05-30
Schedule presentation,Finance,Low,2025-05-25
Research invoice,Personal,Medium,2025-06-11
Prepare exam,Home,Low,2025-05-30
Pay presentation,Fitness,High,2025-06-14
Read budget,Work,High,2025-08-06
Read report,Finance,High,2025-07-25
Fix meeting,Finance,Medium,2025-08-01
Review email,Study,Medium,2025-05-21
Send car service,Health,Medium,2025-08-17
Complete invoice,Work,Low,2025-05-31
Schedule proposal,Fitness,Medium,2025-07-15
Prepare assignment,Shopping,Medium,2025-06-13
Pay invoice,Shopping,Medium,2025-07-30
Attend car service,Work,Medium,2025-05-29
Send budget,Personal,Low,2025-07-24
Fix meeting,Shopping,High,2025-07-27
Prepare resume,Home,Low,2025-06-21
Read invoice,Fitness,Low,2025-05-30
Clean invoice,Study,Low,2025-07-30
Schedule presentation,Study,Low,2025-07-24
Clean assignment,Personal,High,2025-06-24
Plan doctor appointment,Home,High,2025-07-01
Write exam,Personal,Low,2025-08-04
Clean lecture notes,Home,Medium,2025-07-23
Write presentation,Personal,High,2025-06-26
Schedule meeting,Study,Low,2025-07-18
Submit car service,Shopping,Low,2025-06-12
Prepare assignment,Health,Low,2025-07-15
Send exercise,Work,Low,2025-08-09
Send report,Finance,High,2025-07-02
Prepare proposal,Study,High,2025-06-07
Clean meeting,Finance,High,2025-06-20
Update presentation,Home,Medium,2025-06-28
Fix doctor appointment,Shopping,Low,2025-07-13
Organize presentation,Study,High,2025-06-16
Research resume,Home,Low,2025-05-26
Attend doctor appointment,Personal,Medium,2025-07-16
Pay lecture notes,Study,Medium,2025-07-09
Schedule email,Work,High,2025-07-11
Organize exercise,Study,Medium,2025-08-13
Update lecture notes,Home,High,2025-07-08
Complete lecture notes,Work,Low,2025-06-16
Call meeting,Study,Low,2025-06-24
Call resume,Finance,High,2025-07-26
Fix email,Shopping,Low,2025-08-15
Attend exam,Finance,High,2025-06-01
Schedule car service,Personal,High,2025-05-29
Review assignment,Finance,Medium,2025-07-22
Write doctor appointment,Work,Low,2025-06-14
Schedule report,Study,Low,2025-07-25
Research invoice,Fitness,Low,2025-07-01
Schedule proposal,Work,High,2025-07-10
Research meeting,Home,Medium,2025-07-08
Organize email,Finance,Low,2025-08-15
Read email,Home,Low,2025-06-06
Write proposal,Personal,Medium,2025-06-18
Update resume,Fitness,Low,2025-08-06
Schedule resume,Work,Medium,2025-06-27
Submit doctor appointment,Finance,High,2025-07-19
Plan presentation,Health,Medium,2025-07-08
Research lecture notes,Finance,Medium,2025-07-03
Prepare resume,Work,Low,2025-07-19
Read invoice,Finance,High,2025-06-09
Pay assignment,Finance,High,2025-05-30
Organize resume,Home,Medium,2025-08-13
Schedule resume,Health,Low,2025-06-15
Schedule budget,Fitness,High,2025-07-04
Update meeting,Home,High,2025-08-02
Submit meeting,Health,Medium,2025-05-23
Prepare exercise,Health,High,2025-07-05
Attend report,Health,Low,2025-08-11
Attend report,Home,High,2025-07-01
Read email,Personal,Low,2025-07-27
Complete car service,Shopping,Medium,2025-08-13
Update invoice,Home,High,2025-08-02
Pay presentation,Home,High,2025-06-14
Complete budget,Finance,High,2025-08-14
Call presentation,Fitness,Low,2025-05-30
Prepare car service,Fitness,Medium,2025-08-03
Fix doctor appointment,Finance,High,2025-06-03
Research presentation,Fitness,High,2025-06-08
Review car service,Personal,High,2025-06-13
Pay lecture notes,Home,Medium,2025-08-14
Review invoice,Study,Medium,2025-06-27
Call budget,Home,Low,2025-08-07
Fix exam,Finance,Low,2025-06-20
Clean exercise,Health,High,2025-05-23
Send budget,Fitness,High,2025-05-23
Pay lecture notes,Personal,Medium,2025-08-02
Attend resume,Study,High,2025-08-04
Clean email,Personal,High,2025-08-01
Pay presentation,Study,Medium,2025-08-15
Fix doctor appointment,Study,High,2025-06-01
Clean car service,Study,Medium,2025-08-16
Schedule invoice,Work,High,2025-07-17
Read car service,Personal,Low,2025-07-10
Research report,Study,Low,2025-07-15
Review exam,Home,Low,2025-06-10
Fix report,Study,Low,2025-07-31
Complete exam,Shopping,Low,2025-05-20
Fix budget,Study,High,2025-07-07
Research meeting,Finance,High,2025-06-22
Pay presentation,Personal,High,2025-07-26
Pay assignment,Personal,Low,2025-07-21
Prepare meeting,Study,Low,2025-07-17
Prepare presentation,Work,Medium,2025-08-06
Update budget,Study,Medium,2025-06-10
Call invoice,Personal,Medium,2025-08-02
Review presentation,Health,Low,2025-08-17
Pay presentation,Work,Low,2025-07-30
Schedule assignment,Home,Medium,2025-08-04
Complete car service,Personal,Low,2025-06-15
Pay invoice,Work,Low,2025-08-14
Update email,Shopping,Low,2025-06-14
Buy exam,Personal,High,2025-07-25
Submit car service,Personal,Medium,2025-07-25
Fix car service,Health,Medium,2025-08-11
Organize budget,Work,High,2025-07-01
Submit exercise,Home,Low,2025-07-19
Organize meeting,Work,Low,2025-06-20
Pay assignment,Health,High,2025-08-17
Update exam,Study,High,2025-07-04
Review proposal,Home,Low,2025-06-28
Clean car service,Study,Low,2025-06-19
Research email,Study,Medium,2025-05-20
Clean budget,Fitness,High,2025-05-30
Update report,Finance,Low,2025-07-16
Call lecture notes,Fitness,Low,2025-06-12
Prepare exercise,Finance,Medium,2025-06-29
Fix email,Fitness,Medium,2025-08-08
Attend budget,Shopping,Low,2025-07-03
Review exam,Shopping,Low,2025-07-13
Clean report,Home,Low,2025-05-21
Schedule proposal,Shopping,High,2025-06-19
Fix car service,Personal,High,2025-06-02
Complete presentation,Home,High,2025-06-15
Complete presentation,Fitness,High,2025-06-20
Send doctor appointment,Personal,High,2025-07-15
Clean email,Finance,Low,2025-07-16
Read assignment,Fitness,Low,2025-06-15
Read presentation,Study,Low,2025-07-21
Prepare assignment,Health,High,2025-06-01
Update doctor appointment,Health,High,2025-07-06
Update assignment,Study,Medium,2025-07-20
Submit proposal,Personal,Low,2025-07-15
Attend invoice,Study,High,2025-05-31
Pay resume,Fitness,High,2025-05-22
Attend budget,Home,Medium,2025-07-14
Complete invoice,Finance,High,2025-07-07
Pay doctor appointment,Work,Low,2025-08-12
Prepare resume,Health,Medium,2025-07-01
Pay car service,Work,Low,2025-06-05
Submit doctor appointment,Home,Medium,2025-06-20
Call car service,Study,Low,2025-07-30
Complete exam,Home,Low,2025-06-25
Update exercise,Finance,High,2025-05-21
Read exercise,Work,Medium,2025-08-15
Pay email,Work,Low,2025-07-29
Plan resume,Fitness,Medium,2025-07-19
Fix report,Fitness,Medium,2025-07-23
Call meeting,Work,Medium,2025-07-18
Organize proposal,Study,High,2025-07-12
Review lecture notes,Study,Medium,2025-06-05
Write invoice,Personal,Medium,2025-07-21
Fix proposal,Home,High,2025-07-17
Plan invoice,Home,High,2025-07-14
Update exercise,Shopping,High,2025-06-12
Attend exam,Health,Medium,2025-08-09
Attend exam,Fitness,Low,2025-05-22
Call email,Study,High,2025-08-10
Schedule assignment,Work,High,2025-07-05
Review assignment,Work,Low,2025-05-27
Review presentation,Fitness,Low,2025-07-30
Submit report,Work,Low,2025-06-21
Submit budget,Finance,Low,2025-06-03
Prepare resume,Work,Low,2025-07-14
Schedule meeting,Home,High,2025-07-01
Buy proposal,Personal,Medium,2025-08-12
Prepare proposal,Personal,Low,2025-08-17
Complete budget,Home,Low,2025-07-31
Submit lecture notes,Fitness,Low,2025-07-23
Pay meeting,Personal,Low,2025-08-02
Review email,Health,Medium,2025-05-24
Send presentation,Home,High,2025-06-30
Fix lecture notes,Shopping,Low,2025-06-25
Complete report,Shopping,High,2025-07-01
Call resume,Fitness,Medium,2025-05-22
Complete invoice,Home,High,2025-07-31
Organize report,Health,Medium,2025-06-27
Update proposal,Home,Low,2025-07-07
Fix exercise,Home,High,2025-08-01
Fix lecture notes,Work,High,2025-07-09
Send invoice,Study,Medium,2025-05-29
Fix exercise,Personal,Low,2025-06-09
Pay meeting,Fitness,Low,2025-07-05
Research proposal,Shopping,Low,2025-05-25
Buy exercise,Health,Medium,2025-07-10
Prepare presentation,Work,Low,2025-07-26
Research exam,Study,Medium,2025-08-09
Complete email,Personal,High,2025-07-27
Organize report,Shopping,Medium,2025-06-13
Plan assignment,Personal,Medium,2025-07-09
Update assignment,Home,Medium,2025-06-16
Buy budget,Fitness,Low,2025-07-16
Clean doctor appointment,Study,High,2025-08-08
Complete lecture notes,Study,Medium,2025-07-27
Pay doctor appointment,Finance,High,2025-06-09
Prepare exam,Finance,High,2025-07-17
Complete resume,Health,Medium,2025-07-20
Update invoice,Fitness,High,2025-07-23
Clean budget,Study,Low,2025-06-06
Research meeting,Study,Medium,2025-08-07
Read car service,Finance,High,2025-07-11
Review resume,Study,Medium,2025-07-06
Update proposal,Health,Medium,2025-07-19
Read email,Health,High,2025-05-20
Research exercise,Study,Medium,2025-07-28
Organize proposal,Study,High,2025-08-01
Send email,Finance,Low,2025-07-06
Pay proposal,Fitness,High,2025-07-06
Submit resume,Study,Medium,2025-06-11
Prepare email,Work,Low,2025-07-08
Submit report,Personal,Low,2025-07-26
Clean exam,Personal,Low,2025-06-22
Plan proposal,Home,Medium,2025-05-23
Fix invoice,Fitness,Low,2025-08-02
Call email,Shopping,Medium,2025-05-26
Read email,Study,Low,2025-06-11
Pay invoice,Health,Medium,2025-05-30
Attend doctor appointment,Shopping,Low,2025-07-29
Schedule meeting,Finance,Low,2025-06-17
Attend exam,Study,High,2025-05-31
Submit report,Home,High,2025-08-13
Organize invoice,Study,Low,2025-05-23
Call report,Home,High,2025-07-09
Call doctor appointment,Work,High,2025-07-31
Buy email,Health,High,2025-06-21
Fix report,Personal,High,2025-08-03
Update presentation,Fitness,Medium,2025-08-08
Read email,Personal,Medium,2025-07-21
Submit budget,Personal,Low,2025-06-01
Schedule invoice,Work,Low,2025-08-06
Prepare resume,Health,High,2025-06-12
Complete exam,Personal,Medium,2025-06-29
Prepare meeting,Home,Medium,2025-06-27
Review exercise,Home,Medium,2025-06-28
Plan lecture notes,Work,Medium,2025-06-26
Review car service,Health,Medium,2025-05-30
Review car service,Work,High,2025-06-27
Complete report,Personal,Low,2025-08-17
Pay presentation,Shopping,High,2025-08-15
Fix meeting,Personal,Low,2025-06-17
Buy doctor appointment,Health,Low,2025-06-11
Schedule email,Health,Low,2025-06-19
Research doctor appointment,Fitness,High,2025-08-02
Review presentation,Health,High,2025-05-24
Review invoice,Home,Low,2025-08-02
Organize invoice,Fitness,Low,2025-06-19
Fix invoice,Personal,Low,2025-06-20
Complete exercise,Work,High,2025-07-08
Call presentation,Shopping,Low,2025-08-10
Organize lecture notes,Study,High,2025-07-18
Attend invoice,Study,Medium,2025-05-30
Prepare report,Fitness,High,2025-05-27
Prepare assignment,Fitness,High,2025-06-10
Prepare meeting,Home,Medium,2025-07-07
Fix lecture notes,Health,Medium,2025-08-09
Pay report,Health,Medium,2025-06-10
Submit exam,Shopping,Low,2025-05-27
Plan budget,Health,Medium,2025-06-18
Research doctor appointment,Study,Low,2025-06-07
Update presentation,Shopping,High,2025-07-21
Call assignment,Finance,Low,2025-07-05
Attend presentation,Personal,High,2025-08-09
Prepare email,Personal,Medium,2025-08-14
Call doctor appointment,Health,High,2025-08-15
Update resume,Shopping,Medium,2025-07-09
Buy meeting,Home,Low,2025-07-20
Schedule car service,Study,Low,2025-06-23
Research exercise,Personal,Low,2025-07-24
Complete assignment,Shopping,Medium,2025-06-30
Research report,Shopping,Medium,2025-06-14
Schedule exercise,Finance,Medium,2025-07-16
Update resume,Fitness,High,2025-06-27
Call exam,Fitness,Medium,2025-06-12
Review budget,Home,High,2025-07-14
Prepare presentation,Study,High,2025-05-21
Schedule doctor appointment,Fitness,Low,2025-07-24
Review doctor appointment,Home,Medium,2025-08-01
Write meeting,Health,Low,2025-07-26
Schedule exam,Fitness,Low,2025-07-31
Update resume,Finance,Low,2025-05-27
Fix car service,Fitness,Low,2025-06-14
Fix budget,Fitness,Low,2025-07-08
Pay meeting,Finance,Medium,2025-05-24
Write budget,Personal,Medium,2025-06-25
Read meeting,Finance,High,2025-07-15
Submit doctor appointment,Home,High,2025-06-25
Buy proposal,Work,Low,2025-06-26
Review exercise,Work,High,2025-05-23
Send meeting,Shopping,Medium,2025-05-25
Complete exam,Shopping,Low,2025-08-09
Write budget,Work,High,2025-07-08
Submit proposal,Home,High,2025-08-07
Complete resume,Home,Medium,2025-07-09
Attend email,Work,Medium,2025-06-10
Buy meeting,Study,Medium,2025-05-29
Send invoice,Work,Low,2025-06-27
Clean email,Fitness,Medium,2025-07-24
Attend exam,Fitness,Low,2025-08-12
Update presentation,Personal,Medium,2025-08-06
Pay meeting,Shopping,Medium,2025-06-12
Complete lecture notes,Shopping,High,2025-06-20
Write resume,Health,Low,2025-06-24
Schedule meeting,Shopping,High,2025-06-15
Call email,Finance,High,2025-08-10
Complete meeting,Home,Low,2025-06-12
Update presentation,Study,High,2025-05-23
Attend doctor appointment,Study,Medium,2025-06-23
Schedule invoice,Fitness,Medium,2025-06-19
Complete presentation,Shopping,Low,2025-07-02
Complete exam,Shopping,High,2025-06-19
Attend exercise,Health,Low,2025-08-02
Organize lecture notes,Shopping,Medium,2025-07-19
Organize proposal,Health,Low,2025-07-03
Fix exercise,Shopping,High,2025-08-04
Submit report,Health,Medium,2025-07-12
Update assignment,Health,High,2025-06-02
Write proposal,Personal,High,2025-07-31
Buy exam,Finance,Low,2025-06-10
Fix exam,Personal,Low,2025-06-01
Complete meeting,Finance,High,2025-06-06
Review car service,Fitness,Low,2025-07-21
Attend exercise,Health,High,2025-07-30
Call resume,Study,Low,2025-07-15
Read car service,Study,Medium,2025-06-26
Buy exam,Finance,High,2025-05-26
Complete proposal,Fitness,Medium,2025-06-01
Organize report,Fitness,Low,2025-07-02
Clean email,Personal,Low,2025-06-19
Pay doctor appointment,Shopping,Low,2025-07-07
Attend presentation,Home,Low,2025-06-10
Organize car service,Health,High,2025-07-24
Clean exercise,Fitness,Low,2025-07-29
Update exam,Personal,Medium,2025-06-29
Buy lecture notes,Health,Low,2025-06-16
Call assignment,Personal,High,2025-07-05
Call exercise,Home,Low,2025-06-14
Schedule proposal,Personal,Low,2025-07-21
Attend exam,Fitness,Low,2025-08-09
Plan exercise,Fitness,High,2025-07-18
Send exam,Home,Low,2025-07-14
Read doctor appointment,Finance,Low,2025-08-12
Review exercise,Work,Medium,2025-05-25
Schedule meeting,Work,Low,2025-07-06
Buy invoice,Home,Medium,2025-06-13
Prepare doctor appointment,Home,Medium,2025-08-10
Research resume,Personal,Low,2025-06-04
Write report,Personal,Low,2025-05-28
Schedule car service,Health,High,2025-07-19
Plan invoice,Shopping,Low,2025-07-30
Pay exercise,Health,Medium,2025-08-03
Attend presentation,Health,High,2025-06-12
Organize lecture notes,Personal,Medium,2025-08-01
Prepare exam,Study,Medium,2025-06-24
Schedule report,Work,Medium,2025-08-11
Submit exam,Shopping,High,2025-06-06
Schedule doctor appointment,Personal,High,2025-08-16
